"Nº reporte";"Url del reporte";"Usuario";"Grupo";"Fecha del evento";"Hora del evento";"Precisión";"Fecha introducción";"Tipo de fenómeno";"Fiabilidad";"Latitud";"Longitud";"Altitud";"Provincia";"Localidad";"Dirección";"Cod_postal";"Detalles lugar";"Descripción del suceso";"¿Es multirreporte?";"¿Es destacado?";"Daños en bienes";"Daños en campo";"Total daños";"Nº heridos";"Nº muertos";"Fuentes de la información";"Tipo de vórtice";"Nº de vórtices";"¿Otros fenómenos?";"Fujita";"Torro";"Vel.viento Km/h";"¿Nube embudo?";"Nº vórtices en tuba";"Duración";"Otros meteoros";"Longitud trayectoria";"Anchura med. trayectoria";"Anchura máx trayectoria";"Dirección de avance";"Distancia tuba-suelo";"Aumento temperatura";"Tamaño máx. granizo";"Tamaño med. granizo";"Peso máx. granizo";"Espesor capa granizo";"Aspecto del granizo";"Precipitación total";"Hora inicio";"Máx. prec. 5min";"Máx. prec. 10min";"Máx. prec. 15min";"Máx. prec. 30min";"Máx. prec. 1h";"Máx. prec. 3h";"Máx. prec. 24h";"¿Tormenta?";"Tipo de precipitación";"Diametro promedio granizo";"Nieve acumulada";"Equivalencia en agua";"Nieve acumulada en máx. intensidad";"Equivalencia en agua en máx. intensidad";"Duración pico intensidad";"¿Hubo tormenta?";"Tipo de avalancha";"Tipo de flujo";"Tipo de nieve";"Probabilidad de aludes";"Causa de avalancha";"Altitud inicio";"Diferencia altitud inicio-fin";"Cobertura nubosa";"¿Sabe temperatura exacta?";"Temperatura exacta";"Temperatura aproximada";"Velocidad viento";"Dirección viento";"Espesor hielo";"Tipo fenómeno marítimo";"Comentario fen. marítimo"
"1269";"https://sinobas.aemet.es/index.php?pag=detal&rep=1269";"MeteOrihuela";"FrostSE";"2019-06-12";"18:05";"+/- 5 minutos";"2019-06-13";"Tolvanera";"Alta";"37.547";"-2.620";"907";"Granada";"Cúllar";"A-92N, 18850 Cúllar, Granada, España";"18850";"Campos agrícolas sin cultivar, antes de llegar al Barranco de Lele y la Estación de Servicio “Venta del Peral“ (Granada).";"Circulábamos por la Autovía A-92N, dirección Murcia, en la tarde del 12 de junio de 2019. A las 18:05 horas fuimos sorprendidos por avistar una tolvanera de considerable tamaño y altitud (80-100 metros), girando a toda velocidad, llegando a arrastrar polvo y/o tierra a la carretera. Previa y posteriormente a presenciar el fenómeno, se notaban fuertes rachas de viento que dificultaban la conducción.";"NO";"NO";"No se produjeron daños.";"No se produjeron daños. Simplemente transporte y/o movimiento de tierra.";"0";"0";"0";"Testigo del evento";"";"1";"";"&lt; EF0";"T0: 61-86 km/h";"80";"";"";"1 minuto";"Sin Precipitación, Polvo o arena levantado por el viento";"&lt; 0,5 km";"30 metros";"50 metros";"sureste a noroeste";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1270";"https://sinobas.aemet.es/index.php?pag=detal&rep=1270";"RafaelParmar";"";"2019-06-13";"14:00";"+/- 12 horas";"2019-06-14";"Tolvanera";"Alta";"27.851";"-15.405";"11";"Las Palmas";"Agüimes";"Calle las Palmeras, 213, 35118 Agüimes, Las Palmas, España";"35118";"En medio de una zona de tierra al final de la avenida de los pescadores";"Se formó una tolvanera y empezó a dar algo de vueltas.";"NO";"NO";"";"";"";"";"";"Fotos o videos del evento";"";"1";"";"SD";"SD";"80";"";"";"SD";"Polvo o arena levantado por el viento";"&lt; 0,5 km";"10 metros";"20 metros";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1271";"https://sinobas.aemet.es/index.php?pag=detal&rep=1271";"GorkaHermoso";"";"2019-07-04";"19:00";"+/- 1 hora";"2019-07-07";"Granizada Singular";"Alta";"42.969";"-3.785";"842";"Burgos";"Soncillo";"Calle Nicolas Garcia, 10A, 09572 Soncillo, Burgos, España";"09572";"El fenómeno se produjo en el oeste de la comarca Las Merindades. La tormenta siguió la trayectoria de la carretera N-623 (dirección sur - norte) afectando a localidades como Orbaneja del Castillo, Bricia, Valle de Manzanedo, Valle de Valdebezana y Merindad de Valdeporres dejando a su paso fuertes vientos, granizo y lluvias torrenciales.";"Entorno preconvectivo: el jueves día 4 se situaba sobre el oeste peninsular una pequeña depresión, no especialmente profunda. Asociada a la depresión, el ramal delantero más inestable, divergente y difluente afectaba a todo el norte peninsular con especial incapié en el área de interés. Además, debido a la posición de la depresión como comento, una importante advección cálida en niveles bajos afectaba a gran parte de la península ayudada por el propio calentamiento diurno de la época estival. Ésta advección cálida es impulsada por el viento de componente sur reinante a primeras horas del día en el norte peninsular. Por la tarde, el calentamiento diferencial entre el mar Cantábrico y el propio suelo peninsular es más marcado por lo que se forman brisas costeras de componente norte a partir de media mañana. Estas brisas acaban penetrando hacia el interior convergiendo ya por la tarde con el viento sur que comentábamos anteriormente, favoreciendo la aparición de líneas de convergencia en el norte de Castilla y León , algo típico en esta época. Estas convergencias favorecen ascensos de aire actuando como mecanismo de disparo en capas bajas junto con el propio disparo dinámico generado por la depresión del oeste peninsular y el propio disparo de la cordillera Cantábrica. Las elevadas temperaturas en superficie y la humedad que aportaba el viento del norte estimuló la formación de energía (CAPE, Energía Convectiva Potencial Disponible; parámetro muy relacionado con la humedad relativa y la temperatura en diversos puntos verticales de la atmósfera). Esta energía facilita una corriente ascendente más virulenta (parámetro que influye directamente en la formación y tamaño de granizo). Cuanto mayor es la corriente ascendente, mayor capacidad de sostener granizo haciéndolo crecer en el interior de la nube hasta que cae por gravedad debido a su peso. La energía oscilaba entre los 1500 a 2000 j/kg. La cizalladura del viento en la capa profunda (0 - 6 km) oscilaba sobre los 10 - 15 ms (puntualmente más). Valores suficientes para organizar células simples en multicélulas y supercélulas aisladas. La helicidad relativa  a la tormenta en los primeros tres kilómetros nos da una idea de la capacidad que puede tener una corriente ascendente de una tormenta para rotar (dando lugar a un posible mesociclón). Valores próximos a los 200 - 400 m2/s2 estaban previstos en el norte de Castilla y León en la tarde del jueves, suficientes para generar tormentas supercelulares entre otros factores en los que no vamos a hacer incapié. Desconocemos los datos de las hodógrafas para este día. 

Análisis radar: desde primeras horas de la tarde ya se formaron numerosas células en Cantabria, Palencia y Burgos. Pero a partir de las 18 horas locales comenzaron a aparecer desarrollos significativos en Cantabria (Reinosa, Campoo) y en los páramos de Burgos. A las 19 horas locales (17UTC) una célula convectiva en la comarca de Burgos Las Loras adquirió organización y protagonismo. A las 19:30 horas se adentró en la comarca Las Merindades, afectando al oeste de la zona (siguiendo la carretera N-623 y afectando a localidades como Orbaneja, Bricia, etc). A esta hora adquirió gran organización y ya se apreciaban algunas características radar supercelulares como WER y V-Notch (en las imágenes y fotografías se muestra con claridad). A las 19:40 y 19:50 horas locales alcanzó su momento culmen. En este momento el radar muestra una clara estructura supercelular con convección muy organizada y elevadas reflectividades (superiores a 55 - 60 dBZ). Se observa en PPI y CAPPI WER y V - Notch. En este momento la tormenta afecta a Bricia y Valle de Valdebezana con probables fenómenos severos en superficie (granizo importante y fuertes lluvias) A partir de las 20 horas locales la tormenta perdió intensidad y organización rápidamente (probablemente al pasar una zona más montañosa y desorganizar las corrientes internas de la probable supercélula). Se pide por favor a la persona que valide el reporte que adjunte si es posible productos radar tipo viento doppler en el momento que más señal de rotación muestre para confirmar la presunta supercélula, algún corte vertical de la tormenta para observar en el eje Y la BWER - V e imágenes VIL o DVIL que muestren valores elevados indicando granizo potencial.
La tormenta dejó lluvias torrenciales (25 mm en 15 minutos en el puerto de Carrales, N-623) y granizo de entre 2 a 3 cm de diámetro y máximos de hasta 4 cm en diversas localidades del Valle de Valdebezana especialmente.";"NO";"NO";"Coches abollados y cristales rotos.";"Daños importantes en la agricultura. Numerosos campos de cultivo dañados.";"";"";"";"Testigo del evento, Informado por un testigo del evento, Informado por un testigo de los daños, Fotos o videos del evento, Informe por un aficionado entrenado";"";"";"";"";"";"";"";"";"5 minutos";"";"";"";"";"";"";"";"Entre 3 y 4";"Entre 2 y 3";"SD";"SD";"Agregados";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1272";"https://sinobas.aemet.es/index.php?pag=detal&rep=1272";"RafaelPC";"";"2019-07-06";"11:00";"+/- 1 hora";"2019-07-07";"Fenómenos marítimos raros";"Alta";"36.295";"-6.137";"1";"Cádiz";"Conil de la Frontera";"Lugar Puerto Pesquero, 4, 11149 Conil de la Frontera, Cádiz, España";"11149";"A través del Coordinador de Protección Civil de Conil me informa de que en el puerto pesquero de Conil, Cadiz, entre las 11:00h a las 13:00h del sábado 6 de julio de 2019. Rissaga?";"Se ve claramente el fenómeno en el video aportado";"NO";"SI";"No se ha informado de daños";"";"";"";"";"Informado por un testigo del evento";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Otros";"meteotsunami / rissaga"
"1273";"https://sinobas.aemet.es/index.php?pag=detal&rep=1273";"ProyectoMastral";"AMETSE";"2019-07-07";"20:30";"+/- 15 minutos";"2019-07-08";"Fenómenos marítimos raros";"Alta";"37.984";"-0.659";"0";"Alicante";"Torrevieja";"Av. Dr. Mariano Ruiz Canovas, 42, 03183 Torrevieja, Alicante, España";"03183";"El fenómeno está grabado en la Playa de Los Locos de Torrevieja, aunque testigos nos indican que ocurrió también en otras playas de la ciudad.";"Entre las ocho y las nueve de la tarde/noche del domingo 7 de julio se observaron varias subidas y bajadas del nivel del mar en las playas de Torrevieja. La subida y bajada del nivel es de, aproximadamente, unos 30 centímetros. El agua baño zonas de la playa en la que durante el día no había llegado el agua.";"NO";"NO";"Ninguno";"Ninguno";"0";"0";"0";"Informado por un testigo del evento, Fotos o videos del evento";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Oscilaciones transitorias del nivel del mar";"Entre las ocho y las nueve de la noche se produjeron varias subidas y bajadas del nivel del mar, algunas de ellas en pocos minutos."
"1274";"https://sinobas.aemet.es/index.php?pag=detal&rep=1274";"jnunez";"AEMET";"2019-07-06";"18:50";"+/- 15 minutos";"2019-07-08";"Reventón Cálido";"Alta";"38.950";"-0.138";"12";"Valencia";"Miramar";"Carrer de Piles, 13, 46711 Miramar, Valencia, España";"46711";"";"Tormentas en el sur de Valencia y norte de Alicante. Aire muy cálido en capas medias, con un estrato muy seco en capas bajas y una estrecha capa estable junto al suelo de un espesor de unos 1000 metros generada por la célula de brisa. Había entornos para que se produjesen reventones, que en el caso de localidades costeras del sur de Valencia y norte de Alicante, serían cálidos al atravesar la inversión térmica junto al suelo.";"NO";"NO";"";"";"";"";"";"Informado por un testigo del evento";"";"";"";"SD";"SD";"62";"";"";"10 minutos";"Lluvia ligera o moderada, Polvo o arena levantado por el viento, Tormenta";"SD";"SD";"SD";"oeste a este";"";"+5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1275";"https://sinobas.aemet.es/index.php?pag=detal&rep=1275";"dherrero";"";"2019-07-08";"18:10";"+/- 5 minutos";"2019-07-09";"Tornado / Tromba Marina";"Alta";"42.080";"-5.438";"744";"León";"Valderas";"Calle Eras Sol, 13, 24220 Valderas, León, España";"24220";"";"Se inició una tormenta (estaba previsto en el aviso meteorológico) desarrollándose un torbellino que adquirió grandes dimensiones. La cantidad de agua recogida es de entre 50 y 60 mm";"NO";"SI";"Remolques desplazados y tumbados.&lt;br /&gt;Tejados metálicos desprendidos y desplazados decenas de metros.&lt;br /&gt;Desplome de chimeneas.&lt;br /&gt;Desplome de muros, caída y desplazamiento de tejas y daños en fachadas (además de daños en techos y paredes por filtraciones).&lt;br /&gt;Rotura de ventanas (cristal) y perforación de persianas y canalones.&lt;br /&gt;Inundación de bajos y garajes.&lt;br /&gt;Pérdida de mobiliario urbano (contenedores, señalización, papeleras)&lt;br /&gt;Pérdida por perforación y/o desplazamiento por el viento de material en explotaciones agrarias, ganaderas, huertas, etc. (depósitos, comederos, techumbres, material de riego etc.)&lt;br /&gt;Abolladuras en chimeneas, persianas y otras superficies metálicas como coches.&lt;br /&gt;Pérdida de conexión telefónica e Internet entre 18.30 y 23:00 aproximadamente.&lt;br /&gt;Cortes de luz puntuales.";"Árboles arrancados parques y jardines, ramas partidas de chopos.&lt;br /&gt;Pérdida completa de vegetación en ramas de árboles.&lt;br /&gt;Enormes daños en plantas oleaginosas (girasol), cultivos herbáceos (cereal) y otros cultivos (huerta, viñedo)&lt;br /&gt;Daños graves en viñas y frutales, perdiendo entre el 90% y el 100% de su producción.&lt;br /&gt;Se han anegado los campos y destruido los cultivos.";"";"0";"0";"Informado por un testigo del evento, Informado por un testigo de los daños, Información en los medios, Información en sitios webs, Fotos o videos del evento, Fotos o videos de los daños";"Tornado";"1";"";"SD";"SD";"";"Si";"1";"4 minutos";"Granizo mediano, Tormenta";"Entre 1 y 2 km";"SD";"SD";"noreste a suroeste";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1276";"https://sinobas.aemet.es/index.php?pag=detal&rep=1276";"XaviTrial";"";"2019-07-08";"20:30";"+/- 15 minutos";"2019-07-09";"Tuba";"Alta";"28.488";"-16.441";"-1";"Santa Cruz de Tenerife";"El Sauzal";"Calle los Claveles, 9, 38360 El Sauzal, Santa Cruz de Tenerife, España";"38360";"FRENTE A LA COSTA DEL SAUZAL, A BASTANTE DISTANCIA SE GENERÓ UNA TUBA, FUE COGIENDO FUERZA HASTA TOCAR MAR, SE VEÍA UN TUBO BASTANTE LARGO Y CON MUCHO MOVIMIENTO, POR UN MOMENTO PERDIÓ FUERZA Y A LOS POCOS MINUTOS VOLVIO A RECUPERARSE, FINALMENTE SE DESVANECIÓ Y AL MINUTO O DOS SE GENERÓ LA SEGUNDA TUBA EN EL PICO DE LA NUBE, TAMBIÉN ALCANZÓ BASTANTE TAMAÑO AUNQUE DURÓ MENOS QUE LA PRIMERA, SE DESVANECIÓ CAMINO HACIA LA PALMA";"FRENTE A LA COSTA DEL SAUZAL, A BASTANTE DISTANCIA SE GENERÓ UNA TUBA, FUE COGIENDO FUERZA HASTA TOCAR MAR, SE VEÍA UN TUBO BASTANTE LARGO Y CON MUCHO MOVIMIENTO, POR UN MOMENTO PERDIÓ FUERZA Y A LOS POCOS MINUTOS VOLVIO A RECUPERARSE, FINALMENTE SE DESVANECIÓ Y AL MINUTO O DOS SE GENERÓ LA SEGUNDA TUBA EN EL PICO DE LA NUBE, TAMBIÉN ALCANZÓ BASTANTE TAMAÑO AUNQUE DURÓ MENOS QUE LA PRIMERA, SE DESVANECIÓ CAMINO HACIA LA PALMA";"NO";"NO";"";"";"";"";"";"Testigo del evento, Fotos o videos del evento";"";"2";"";"";"";"";"";"";"30 minutos";"Lluvia ligera o moderada";"";"";"";"";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1277";"https://sinobas.aemet.es/index.php?pag=detal&rep=1277";"meteosojuela";"";"2019-07-08";"17:15";"+/- 15 minutos";"2019-07-09";"Reventón / Frente de racha";"Alta";"42.306";"-1.967";"354";"La Rioja";"Calahorra";"Calle Padre Lucas, 19, 26500 Calahorra, La Rioja, España";"26500";"Centro Urbano de Calahorra";"Entorno inestable por el paso de una DANA a lo que se añade alta humedad y convergencia de vientos del NW y SE en el valle del Ebro. Se desarrolla una fuerte tormenta en la zona de Calahorra dándose un fenómeno meteorológico que por sus características entraría dentro de lo que se denomina Frente de Racha o Reventón por lo que cuenta el testigo presencial “Tormenta con granizo  acompañada de rachas de viento a 88,5 km/h se han recogido hasta 50 litros en 20’“";"NO";"NO";"";"Cultivos de la zona y arbolado urbano";"";"";"";"Informado por un testigo del evento, Fotos o videos del evento";"";"";"";"&lt; EF0";"T1: 87-115 km/h";"90";"";"";"30 minutos";"Lluvia fuerte, Granizo pequeño (&lt;0,5 cm.)";"SD";"SD";"SD";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1278";"https://sinobas.aemet.es/index.php?pag=detal&rep=1278";"MeteoXixona";"";"2019-07-06";"19:00";"+/- 15 minutos";"2019-07-09";"Reventón Cálido";"Alta";"38.543";"-0.510";"539";"Alicante";"Jijona";"CV-810, 03100 Jijona, Alicante, España";"03100";"El fenómeno ocurrió por todo el término de Jijona y cercanías, siendo más notable en algunas zonas en concreto.";"Posible reventón cálido en Jijona y cercanías, coincidiendo con la llegada de una tormenta seca, con subida de temperatura de casi 7ºC, brusca y súbita bajada en la humedad y viento fuerte racheado, llegando la racha a los 84km/h, subiendo la temperatura de 29,2ºC a 35,7ºC,  y la humedad pasando del 52% al 16%.";"NO";"NO";"";"Daños en arbolado";"";"";"";"Informado por un testigo del evento, Informado por un testigo de los daños, Información en sitios webs";"";"";"";"&lt; EF0";"T0: 61-86 km/h";"84";"";"";"SD";"Sin Precipitación, Polvo o arena levantado por el viento";"SD";"SD";"SD";"oeste a este";"";"+5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1279";"https://sinobas.aemet.es/index.php?pag=detal&rep=1279";"meteosanjuan";"";"2019-07-09";"17:00";"+/- 1 hora";"2019-07-09";"Tolvanera";"Media";"37.359";"-6.027";"6";"Sevilla";"San Juan de Aznalfarache";"Calle Virgen de la Paz, 11, 41920 San Juan de Aznalfarache, Sevilla, España";"41920";"Explanada de Arroceria Herba, junto a la Autovía #Sevilla a Coria";"Se observa corriente de aire ascendente en un lugar con bastante polvo en el suelo que lo hace visible";"NO";"NO";"";"";"";"";"";"Fotos o videos del evento";"";"1";"";"SD";"SD";"80";"";"";"1 minuto";"";"SD";"SD";"SD";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1280";"https://sinobas.aemet.es/index.php?pag=detal&rep=1280";"MeteoCaudete";"";"2019-07-07";"16:30";"+/- 5 minutos";"2019-07-10";"Reventón / Frente de racha";"Alta";"39.423";"-1.307";"603";"Valencia";"Requena";"Calle Mayor Cojos, 1D, 46354 Requena, Valencia, España";"46354";"Partíamos de una jornada muy calurosa pero en la que estábamos bajo AVISOS de AEMET nivel naranja por tormentas en la zona y también los tuvimos por viento, tal y como el evento demostró. Los valores más extremos (tanto de rachas de viento, PCP y variación térmica) se dieron en ésta ubicación, si bien, los efectos se dejaron notar también 7 km al N en el observatorio AVAMET en Los Ruices (rachas 92 km/h) e incluso 11 km al NE en el observatorio AEMET de Utiel, La Cubera (rachas 88 km/h). En menor medida también se vieron afectados los términos de Caudete de las Fuentes y Venta del Moro. En el caso de Los Isidros, tras alcanzarse los 36.5º de máxima (en torno a las 15 horas), la temperatura siguió muy cálida hasta la llegada de la tormenta, 36.1º a las 16.30 h. Brusco desplome térmico asociado a la misma, pasamos prácticamente en 20 minutos a registrar sólo 17.5º a las 16.50 h, a la sazón, la mínima de ése día. En reporte aparte, tratamos con detalle los efectos devastadores de las granizadas que se produjeron tanto en ésta como en otras zonas asociadas a ésta primera tormenta de disparo, así como al resto que le sucedieron, ya que, siguiendo prácticamente la misma trayectoria (de SW a NE) se sucedieron, al menos, 6 núcleos consecutivos, generando pues toda una tarde inestable que se prolongó hasta bien entrada la noche. Así, entre el fuerte viento y los efectos del granizo, se estiman en unas 18.300 las hectáreas afectadas generando pérdidas en el campo en torno a los 19 millones de euros. La viña ha sido el cultivo más afectado con aproximadamente 13.500 hectáreas, mientras que en almendra se sitúan en 3.100 y en olivar 1.700 hectáreas, según AVA-ASAJA. La cifra aumentaría hasta los 20 millones de euros reseñados en el reporte si le sumamos los daños producidos en los entornos urbanos, forestales y otros menores en las  infraestructuras viarias.";"Partíamos de una jornada muy calurosa pero en la que estábamos bajo AVISOS de AEMET nivel naranja por tormentas en la zona y también los tuvimos por viento, tal y como el evento demostró. Los valores más extremos (tanto de rachas de viento, PCP y variación térmica) se dieron en ésta ubicación, si bien, los efectos se dejaron notar también 7 km al N en el observatorio AVAMET en Los Ruices (rachas 92 km/h) e incluso 11 km al NE en el observatorio AEMET de Utiel, La Cubera (rachas 88 km/h). En menor medida también se vieron afectados los términos de Caudete de las Fuentes y Venta del Moro. En el caso de Los Isidros, tras alcanzarse los 36.5º de máxima (en torno a las 15 horas), la temperatura siguió muy cálida hasta la llegada de la tormenta, 36.1 a las 16.30 h. Brusco desplome térmico asociado a la misma, pasamos prácticamente en 20 minutos a registrar sólo 17.5º a las 16.50 h, a la sazón, la mínima de ése día. En reporte aparte, tratamos con detalle los efectos devastadores de las granizadas que se produjeron tanto en ésta como en otras zonas asociadas a ésta primera “tormenta de disparo“, así como al resto que le sucedieron, ya que, siguiendo prácticamente la misma trayectoria (de SW a NE) se sucedieron, al menos, 6 núcleos consecutivos, generando pues toda una tarde inestable que se prolongó hasta bien entrada la noche. Así, entre el fuerte viento y los efectos del granizo, se estiman en unas 18.300 las hectáreas afectadas generando pérdidas en el campo en torno a los 19 millones de euros. La viña ha sido el cultivo más afectado con aproximadamente 13.500 hectáreas, mientras que en almendra se sitúan en 3.100 y en olivar 1.700 hectáreas, según AVA-ASAJA. La cifra aumentaría hasta los 20 millones de euros reseñados en el reporte si le sumamos los daños producidos en los entornos urbanos, forestales y otros menores en las  infraestructuras viarias.";"NO";"NO";"Tejas y canaletas levantadas, tejados metálicos de chapa arrancados de cuajo, antenas tumbadas por la fuerza del viento. Ver fotos adjuntas.";"Numerosos árboles (pinos) dañados entre las pedanías de Casa de Lo Alto, Los Cojos y Los Isidros. También plantones de almendros abatidos en su trayectoria. Daños también en olivares de la zona (ramas) y también en algunas cepas de viñas viejas. Ver fotos adjuntas.";"20000000";"0";"0";"Testigo del evento, Testigo de los daños, Informado por un testigo de los daños, Fotos o videos de los daños, Informe por un meteorólogo aficionado";"";"";"";"EF0: 105-137 km/h";"T2: 116-147 km/h";"124";"";"";"30 minutos";"Lluvia fuerte, Granizo mediano, Granizo grande (&gt;2 cm.), Polvo o arena levantado por el viento, Tormenta";"Entre 8 y 9 km";"0,5 kms";"1 km";"suroeste a noreste";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
